4.56698s 2 RttEstimator:Measurement(0x7faf0a4711e0, +286687938.0ns)
4.57623s 2 RttEstimator:Measurement(0x7faf0a4711e0, +286687938.0ns)
4.58548s 2 RttEstimator:Measurement(0x7faf0a4711e0, +286687938.0ns)
4.59473s 2 RttEstimator:Measurement(0x7faf0a4711e0, +286687938.0ns)
4.60397s 2 RttEstimator:Measurement(0x7faf0a4711e0, +286687938.0ns)
4.61322s 2 RttEstimator:Measurement(0x7faf0a4711e0, +286687938.0ns)
4.62247s 2 RttEstimator:Measurement(0x7faf0a4711e0, +286687938.0ns)
4.63172s 2 RttEstimator:Measurement(0x7faf0a4711e0, +286687938.0ns)
4.64097s 2 RttEstimator:Measurement(0x7faf0a4711e0, +286687938.0ns)
4.65021s 2 RttEstimator:Measurement(0x7faf0a4711e0, +286687938.0ns)
4.65946s 2 RttEstimator:Measurement(0x7faf0a4711e0, +286687938.0ns)
4.66871s 2 RttEstimator:Measurement(0x7faf0a4711e0, +286687938.0ns)
4.67796s 2 RttEstimator:Measurement(0x7faf0a4711e0, +286687938.0ns)
4.68721s 2 RttEstimator:Measurement(0x7faf0a4711e0, +286687938.0ns)
4.69645s 2 RttEstimator:Measurement(0x7faf0a4711e0, +286687938.0ns)
4.7057s 2 RttEstimator:Measurement(0x7faf0a4711e0, +286687938.0ns)
4.71495s 2 RttEstimator:Measurement(0x7faf0a4711e0, +286687938.0ns)
4.7242s 2 RttEstimator:Measurement(0x7faf0a4711e0, +286687938.0ns)
4.73345s 2 RttEstimator:Measurement(0x7faf0a4711e0, +286687938.0ns)
4.74269s 2 RttEstimator:Measurement(0x7faf0a4711e0, +286687938.0ns)
4.75194s 2 RttEstimator:Measurement(0x7faf0a4711e0, +286687938.0ns)
4.76119s 2 RttEstimator:Measurement(0x7faf0a4711e0, +286687938.0ns)
4.77044s 2 RttEstimator:Measurement(0x7faf0a4711e0, +286687938.0ns)
4.77969s 2 RttEstimator:Measurement(0x7faf0a4711e0, +286687938.0ns)
4.78893s 2 RttEstimator:Measurement(0x7faf0a4711e0, +286687938.0ns)
4.79818s 2 RttEstimator:Measurement(0x7faf0a4711e0, +286687938.0ns)
4.80743s 2 RttEstimator:Measurement(0x7faf0a4711e0, +286687938.0ns)
4.81668s 2 RttEstimator:Measurement(0x7faf0a4711e0, +286687938.0ns)
4.82593s 2 RttEstimator:Measurement(0x7faf0a4711e0, +286687938.0ns)
4.83517s 2 RttEstimator:Measurement(0x7faf0a4711e0, +286687938.0ns)
