% time	cellId	IMSI	RNTI	sinrLinear
35.121	1	1	1	14.7468
35.161	1	1	1	10.8501
35.201	1	1	1	12.6504
35.241	1	1	1	31.7202
35.281	1	1	1	12.9662
35.321	1	1	1	18.9195
35.361	1	1	1	20.5158
35.401	1	1	1	0.945821
35.441	1	1	1	13.4891
35.481	1	1	1	5.58283
35.521	1	1	1	7.5641
35.561	1	1	1	6.08623
35.601	1	1	1	13.8501
35.641	1	1	1	15.9791
35.681	1	1	1	12.5864
35.721	1	1	1	9.873
35.761	1	1	1	17.9341
35.801	1	1	1	57.8511
35.841	1	1	1	33.5022
35.881	1	1	1	6.26107
35.921	1	1	1	18.6783
35.961	1	1	1	13.5412
36.001	1	1	1	8.69666
36.041	1	1	1	43.6475
36.081	1	1	1	95.2643
36.121	1	1	1	58.4603
36.161	1	1	1	22.1556
36.201	1	1	1	36.8976
36.241	1	1	1	15.3134
36.281	1	1	1	57.5665
36.321	1	1	1	57.6497
36.361	1	1	1	18.4909
36.401	1	1	1	64.0333
36.441	1	1	1	36.9629
36.481	1	1	1	7.92678
36.521	1	1	1	50.596
36.561	1	1	1	72.3145
36.601	1	1	1	38.6867
36.641	1	1	1	12.9985
36.681	1	1	1	6.65918
36.721	1	1	1	6.12973
36.761	1	1	1	19.8222
36.801	1	1	1	17.0176
36.841	1	1	1	1.97112
36.881	1	1	1	11.8724
36.921	1	1	1	30.8175
36.961	1	1	1	22.3317
37.001	1	1	1	39.9894
37.041	1	1	1	66.656
37.081	1	1	1	13.3335
37.121	1	1	1	10.8039
37.161	1	1	1	1.59175
37.201	1	1	1	54.5471
37.241	1	1	1	108.25
